what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.launching.multiplatform.ui",1354831219200
stopped,bundle,com.adobe.flexbuilder.launching.ui,4.6.0.328916,"com.adobe.flexbuilder.launching.ui",1354831219200
stopped,bundle,com.adobe.flexbuilder.designview,4.6.0.328916,"com.adobe.flexbuilder.designview",1354831219200
stopped,bundle,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.project.ui",1354831219204
stopped,bundle,com.adobe.flexbuilder.debug,4.6.0.328916,"com.adobe.flexbuilder.debug",1354831219349
stopped,bundle,com.adobe.flash.profiler,4.6.0.328916,"com.adobe.flash.profiler",1354831219349
stopped,bundle,com.adobe.flexide.exportimport,4.6.0.328916,"com.adobe.flexide.exportimport",1354831219415
stopped,bundle,com.adobe.flexide.fcproject,4.6.0.328916,"com.adobe.flexide.fcproject",1354831219417
stopped,bundle,com.adobe.flexide.fonts,4.6.0.328916,"com.adobe.flexide.fonts",1354831219417
stopped,bundle,com.adobe.flexide.designitems,4.6.0.328916,"com.adobe.flexide.designitems",1354831219417
stopped,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.328916,"com.adobe.flexide.multiplatform.ios",1354831219417
stopped,bundle,com.adobe.flexide.refactoring.core,4.6.0.328916,"com.adobe.flexide.refactoring.core",1354831219417
stopped,bundle,com.adobe.flexide.mxml.core,4.6.0.328916,"com.adobe.flexide.mxml.core",1354831219453
stopped,bundle,com.adobe.flexide.css.core,4.6.0.328916,"com.adobe.flexide.css.core",1354831219454
stopped,bundle,com.adobe.flexbuilder.monitors.network,4.6.0.328916,"com.adobe.flexbuilder.monitors.network",1354831219454
stopped,bundle,com.adobe.flexide.as.core,4.6.0.328916,"com.adobe.flexide.as.core",1354831219458
stopped,bundle,com.adobe.flexide.externaleditors,4.6.0.328916,"com.adobe.flexide.externaleditors",1354831219458
stopped,bundle,com.adobe.flexide.editorcore,4.6.0.328916,"com.adobe.flexide.editorcore",1354831219459
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.328916,"com.adobe.flexbuilder.mxmlmodel",1354831219459
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.contributor,4.6.0.328916,"com.adobe.flashbuilder.launching.multiplatform.contributor",1354831219459
stopped,bundle,com.adobe.flexide.multiplatform.android,4.6.0.328916,"com.adobe.flexide.multiplatform.android",1354831219459
stopped,bundle,com.qnx.flexide.multiplatform.qnx,1.2.0.201110311231,"com.qnx.flexide.multiplatform.qnx",1354831219459
stopped,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.328916,"com.adobe.flexide.launching.multiplatform",1354831219460
stopped,bundle,com.adobe.flexide.launching,4.6.0.328916,"com.adobe.flexide.launching",1354831219460
